volatile acidity,citric acid,chlorides,density,pH,sulphates,alcohol,SugarFraction,Sulfur,Acidity,quality
0.7,0.0,0.076,0.9978,3.51,0.56,9.4,1.9041892162758067,0.3235294117647059,2.1082621082621085,5
0.88,0.0,0.098,0.9968,3.2,0.68,9.8,2.6083467094703052,0.373134328358209,2.4375,5
0.76,0.04,0.092,0.997,3.26,0.65,9.8,2.3069207622868606,0.2777777777777778,2.392638036809816,5
0.28,0.56,0.075,0.998,3.16,0.58,9.8,1.9038076152304608,0.2833333333333333,3.5443037974683542,6
0.66,0.0,0.075,0.9978,3.51,0.56,9.4,1.803968731208659,0.325,2.1082621082621085,5
0.6,0.06,0.069,0.9964,3.3,0.46,9.4,1.6057808109193097,0.2542372881355932,2.393939393939394,5
0.65,0.0,0.065,0.9946,3.39,0.47,10.0,1.2065151819827065,0.7142857142857143,2.1533923303834808,7
0.58,0.02,0.073,0.9968,3.36,0.57,9.5,2.0064205457463884,0.5,2.3214285714285716,7
0.5,0.36,0.071,0.9978,3.35,0.8,10.5,6.11344958909601,0.16666666666666666,2.2388059701492535,5
0.58,0.08,0.097,0.9959,3.28,0.54,9.2,1.807410382568531,0.23076923076923078,2.0426829268292686,5
0.615,0.0,0.089,0.9943,3.58,0.52,9.9,1.6091722820074426,0.2711864406779661,1.5642458100558658,5
0.61,0.29,0.114,0.9974,3.26,1.56,9.1,1.604170844194907,0.3103448275862069,2.392638036809816,5
0.62,0.18,0.176,0.9986,3.16,0.88,9.2,3.8053274584418184,0.3586206896551724,2.8164556962025316,5
0.62,0.19,0.17,0.9986,3.17,0.93,9.2,3.905467654716603,0.34459459459459457,2.8075709779179814,5
0.28,0.56,0.092,0.9969,3.3,0.75,10.5,1.8055973517905508,0.33980582524271846,2.5757575757575757,7
0.56,0.28,0.368,0.9968,3.11,1.28,9.3,1.7054574638844302,0.2857142857142857,2.604501607717042,5
0.59,0.08,0.086,0.9974,3.38,0.5,9.0,4.411469821535994,0.20689655172413793,2.1893491124260356,4
0.32,0.51,0.341,0.9969,3.04,1.08,9.2,1.8055973517905508,0.30357142857142855,2.598684210526316,6
0.22,0.48,0.077,0.9968,3.39,0.53,9.4,1.8057784911717496,0.48333333333333334,2.6253687315634218,6
0.39,0.31,0.082,0.9982,3.52,0.65,9.7,2.304147465437788,0.323943661971831,2.159090909090909,5
0.43,0.21,0.106,0.9966,3.17,0.91,9.5,1.6054585591009431,0.2702702702702703,2.4921135646687698,5
0.49,0.11,0.084,0.9968,3.17,0.53,9.4,2.3073836276083464,0.13432835820895522,2.6813880126182967,5
0.4,0.14,0.085,0.9968,3.43,0.63,9.7,2.407704654895666,0.525,2.011661807580175,6
0.39,0.16,0.08,0.9955,3.34,0.56,9.3,1.4063284781516825,0.4782608695652174,1.8862275449101797,5
0.41,0.24,0.08,0.9962,3.28,0.59,9.5,1.8068660911463563,0.36363636363636365,2.317073170731707,5
0.71,0.0,0.08,0.9972,3.47,0.55,9.4,1.9053349378259126,0.4,2.0461095100864553,5
0.645,0.0,0.082,0.9964,3.38,0.59,9.8,2.007226013649137,0.5,2.307692307692308,6
0.675,0.07,0.089,0.9958,3.35,0.54,10.1,2.4101225145611567,0.2073170731707317,2.0,5
0.685,0.0,0.105,0.9966,3.46,0.57,10.6,2.5085289985952235,0.5945945945945946,1.994219653179191,6
0.655,0.12,0.083,0.9966,3.17,0.66,9.8,2.3078466787076057,0.13274336283185842,2.6182965299684544,5
0.605,0.12,0.073,0.9993,3.45,0.52,9.4,10.707495246672671,0.4819277108433735,2.0,6
0.32,0.25,0.103,0.9957,3.38,0.55,9.2,1.8077734257306417,0.26,1.5384615384615385,5
0.645,0.0,0.086,0.9986,3.4,0.55,9.6,5.507710795113158,0.2777777777777778,2.2941176470588234,6
0.6,0.14,0.086,0.9975,3.42,0.6,10.8,2.406015037593985,0.2,2.280701754385965,6
0.38,0.28,0.066,0.9968,3.23,0.73,9.7,2.106741573033708,0.43333333333333335,2.5077399380804954,7
1.13,0.09,0.172,0.994,3.5,0.48,9.8,1.5090543259557345,0.3684210526315789,1.6285714285714286,4
0.45,0.36,0.074,0.9978,3.33,0.83,10.5,5.913008618961716,0.13793103448275862,2.1921921921921923,5
0.61,0.3,0.088,0.9976,3.26,0.51,9.3,2.8067361668003206,0.3695652173913043,2.699386503067485,4
0.49,0.2,0.332,0.9968,3.21,0.9,10.5,2.6083467094703052,0.5714285714285714,2.336448598130841,6
0.66,0.22,0.069,0.9968,3.3,1.2,10.3,2.2070626003210276,0.391304347826087,2.4545454545454546,5
0.67,0.02,0.05,0.9962,3.48,0.52,9.5,1.8068660911463563,0.45454545454545453,1.9540229885057472,5
0.52,0.15,0.054,0.9934,3.9,0.56,13.1,2.1139520837527686,0.12307692307692308,1.1794871794871795,4
0.935,0.43,0.114,0.997,3.25,0.73,9.2,2.2066198595787365,0.19298245614035087,2.3692307692307693,5
0.29,0.52,0.113,0.9969,3.25,0.58,9.5,1.604975423813823,0.32432432432432434,2.6769230769230767,5
0.4,0.23,0.066,0.9958,3.34,0.56,9.2,1.6067483430407714,0.4166666666666667,1.916167664670659,5
0.31,0.37,0.074,0.9954,3.32,0.58,9.2,1.4064697609001406,0.125,1.686746987951807,5
0.66,0.26,0.074,0.9971,3.15,0.74,9.2,1.7049443385818874,0.17391304347826086,2.793650793650794,5
0.52,0.04,0.069,0.9956,3.4,0.63,9.4,2.2097227802330255,0.5333333333333333,1.9411764705882353,6
0.5,0.04,0.068,0.9955,3.39,0.64,9.4,2.109492717227524,0.42857142857142855,1.9469026548672566,6
0.38,0.36,0.081,0.997,3.2,0.56,9.4,3.0090270812437314,0.25210084033613445,2.6874999999999996,5
0.51,0.15,0.11,0.9955,3.17,0.63,10.2,2.812656956303365,0.4520547945205479,2.397476340694006,6
0.62,0.04,0.084,0.9978,3.34,0.53,9.5,3.8083784325516135,0.5555555555555556,2.3053892215568865,5
0.42,0.57,0.07,0.9971,3.04,0.63,9.6,3.409888677163775,0.4,3.3552631578947367,5
0.63,0.12,0.111,0.9983,3.26,0.77,9.4,5.108684764098968,0.45454545454545453,2.3006134969325154,5
